tab	magic_measurements
er_specimen_name	er_sample_name	er_site_name	er_location_name	magic_experiment_name	measurement_number	treatment_dc_field	measurement_sd_z	measurement_flag	measurement_csd	er_analyst_mail_names	er_citation_names	measurement_magn_moment	measurement_sd_y	magic_method_codes	measurement_temp	treatment_temp	measurement_sd_x	measurement_standard	measurement_positions	measurement_dec	measurement_inc	magic_software_packages	treatment_dc_field_theta	measurement_description	magic_instrument_codes	treatment_dc_field_phi	treatment_ac_field
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	1	0	2.14e-09	g	2.3		This study	3.93e-07	8.63e-09	LT-NO:LP-DIR-T	273	273	1.35e-08		1	37.2	-53.2	pmagpy-3.2.1					0
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	2	0	2.78e-09	g	2.0		This study	4.29e-07	7.51e-09	LT-LT-Z:LP-DIR-T	273	77	1.25e-08		1	36.7	-50.9	pmagpy-3.2.1					0
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	3	0	3.42e-09	g	2.3		This study	5.32e-07	1.28e-08	LT-T-Z:LP-DIR-T	273	373.0	1.65e-08		1	34.8	-48.5	pmagpy-3.2.1					0
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	4	0	1.04e-08	g	3.0		This study	6.71e-07	2.34e-08	LT-T-Z:LP-DIR-T	273	423.0	2.39e-08		1	029.3	-47.6	pmagpy-3.2.1			hargrave 2014-10-22 15:53:24		0
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	5	0	7.42e-09	g	2.2		This study	6.55e-07	1.31e-08	LT-T-Z:LP-DIR-T	273	473.0	2.00e-08		1	028.6	-47.3	pmagpy-3.2.1			hargrave 2014-10-27 16:19:50		0
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	6	0	4.18e-09	g	3.1		This study	5.27e-07	2.17e-08	LT-T-Z:LP-DIR-T	273	523.0	1.81e-08		1	028.5	-49.3	pmagpy-3.2.1			hargrave 2014-10-28 13:42:19		0
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	7	0	2.98e-09	g	3.0		This study	3.81e-07	1.36e-08	LT-T-Z:LP-DIR-T	273	573.0	1.42e-08		1	034.0	-52.8	pmagpy-3.2.1			hargrave 2014-10-28 20:40:03		0
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	8	0	1.87e-09	g	2.0		This study	2.40e-07	3.67e-09	LT-T-Z:LP-DIR-T	273	623.0	7.58e-09		1	040.3	-57.3	pmagpy-3.2.1			hargrave 2014-10-29 20:53:02		0
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	9	0	1.36e-09	g	3.2		This study	1.97e-07	5.83e-09	LT-T-Z:LP-DIR-T	273	673.0	9.19e-09		1	043.8	-58.4	pmagpy-3.2.1			hargrave 2014-11-03 17:13:00		0
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	10	0	1.36e-09	g	2.1		This study	1.78e-07	2.86e-09	LT-T-Z:LP-DIR-T	273	698.0	5.82e-09		1	046.8	-59.9	pmagpy-3.2.1			hargrave 2014-11-04 12:03:42		0
